poem小韵号	nk2028字头	unt修改后编码	切韵拼音
491	暾	FaI	thon
492	屯	GaI	don
493	村	OaI	tshon
494	㑮	gaI	ngon
495	盆	CaA	bon
496	奔	AaA	pon
497	論	IaI	lon
498	坤	eaI	khon
499	昏	iaI	hon
500	濆	BaA	phon
501	黁	HaI	non
502	痕	jbA	gheon
503	根	dbA	keon
504	恩	hbA	qeon
505	吞	FbA	theon
506	垠	gbA	ngeon
507	寒	jcA	ghan
508	豻	gcA	ngan
509	單	EcA	tan
510	安	hcA	qan
511	難	HcA	nan
512	餐	OcA	tshan
513	灘	FcA	than
514	𦙱	QcA	san
515	壇	GcA	dan
516	殘	PcA	dzan
517	干	dcA	kan
518	蘭	IcA	lan
519	看	ecA	khan
520	頇	icA	han
521	濡	HcI	nwan
522	桓	jcI	ghwan
523	岏	gcI	ngwan
524	端	EcI	twan
525	剜	hcI	qwan
526	湍	FcI	thwan
527	酸	QcI	swan
528	團	GcI	dwan
529	欑	PcI	dzwan
530	官	dcI	kwan
531	鑾	IcI	lwan
532	歡	icI	hwan
533	寬	ecI	khwan
534	鑽	NcI	tswan
535	槃	CcA	ban
536	瞞	DcA	man
537	潘	BcA	phan
538	𤳖	AcA	pan
539	刪	VdA	sraen
540	關	ddI	kwaen
541	彎	hdI	qwaen
542	𣟴	VdI	srwaen
543	還	jdI	ghwaen
544	班	AdA	paen
545	蠻	DdA	maen
546	顏	gdA	ngaen
547	姦	ddA	kaen
548	攀	BdA	phaen
549	奻	MdI	nrwaen
550	𤸷	gdI	ngwaen
551	馯	edA	khaen
552	豻	edA	khaen
553	跧	SdI	tsrwaen
554	山	VeA	sreen
555	鰥	deI	kween
556	間	deA	keen
557	閒	jeA	gheen
558	慳	eeA	kheen
559	虥	UeA	dzreen
560	羴	ieA	heen
561	訮	geA	ngeen
562	黰	heA	qeen
563	斒	AeA	peen
564	斕	IeA	leen
565	嘫	MeA	nreen
566	㺗	YfA	tjhien
567	𡣬	heI	qween
568	窀	LeI	drween
569	𡰠	IfI	lwien
570	𡰝	ffM	guen
571	譠	JeA	treen
572	𤣆	LeA	dreen
573	湲	jeI	ghween
574	虥	UeA	dzreen
575	先	QgA	sen
576	前	PgA	dzen
577	千	OgA	tshen
578	箋	NgA	tsen
579	天	FgA	then
580	堅	dgA	ken
581	賢	jgA	ghen
582	煙	hgA	qen
583	蓮	IgA	len
584	田	GgA	den
585	秊	HgA	nen
586	顛	EgA	ten
587	牽	egA	khen
588	妍	ggA	ngen
589	眠	DgA	men
590	蹁	CgA	ben
591	淵	hgI	qwen
592	涓	dgI	kwen
593	鋗	igI	hwen
594	邊	AgA	pen
595	玄	jgI	ghwen
596	祆	igA	hen
598	仙	QfA	sien
599	錢	PfA	dzien
600	遷	OfA	tshien
601	煎	NfA	tsien
602	然	cfA	njien
603	延	lfA	jien
604	𩜾	XfA	tjien
605	甄	dfA	kien
606	邅	JfA	trien
607	潺	UfA	dzryen
608	羶	afA	sjien
609	脠	KfA	trhien
610	鋋	ZfA	djien
611	纏	LfA	drien
612	嘕	ifE	hyen
613	連	IfA	lien
614	篇	BfA	phien
615	便	CfA	bien
616	緜	DfA	mien
617	全	PfI	dzwien
618	宣	QfI	swien
619	鐫	NfI	tswien
620	翾	ifI	hwien
621	堧	cfI	njwien
622	穿	YfI	tjhwien
623	沿	lfI	jwien
624	旋	RfI	zwien
625	娟	hfI	qwien
626	船	bfI	zjwien
627	鞭	AfA	pien
628	㳄	RfA	zien
629	詮	OfI	tshwien
630	專	XfI	tjwien
631	遄	ZfI	djwien
632	員	kfI	uen
633	恮	SfI	tsruen
634	栓	VfI	sruen
635	猭	KfI	trhwien
636	乾	ffE	gyen
637	愆	efE	khyen
638	權	ffM	guen
639	椽	LfI	drwien
640	攣	IfI	lwien
641	弮	efM	khuen
642	焉	hfE	qyen
643	漹	kfA	yen
644	𡣬	hfM	quen
645	燀	YfA	tjhien
647	勬	dfM	kuen
648	蕭	QhA	sew
649	祧	FhA	thew
650	貂	EhA	tew
651	迢	GhA	dew
652	驍	dhA	kew
653	聊	IhA	lew
654	堯	ghA	ngew
655	膮	ihA	hew
656	幺	hhA	qew
657	鄡	ehA	khew
658	宵	QiA	siew
659	超	KiA	trhiew
660	朝	JiA	triew
661	鼂	LiA	driew
662	囂	iiE	hyew
663	樵	PiA	dziew
664	驕	diE	kyew
665	焦	NiA	tsiew
666	饒	ciA	njiew
667	燒	aiA	sjiew
668	遙	liA	jiew
669	韶	ZiA	djiew
670	昭	XiA	tjiew
671	飆	AiA	piew
672	鑣	AiE	pyew
673	瓢	CiA	biew
674	蜱	DiA	miew
675	苗	DiE	myew
676	要	hiA	qiew
677	鴞	kiA	yew
678	喬	fiE	gyew
679	鍫	OiA	tshiew
680	妖	hiE	qyew
681	蹻	eiA	khiew
682	怊	YiA	tjhiew
683	𤐫	BiA	phiew
684	翹	fiA	giew
685	燎	IiA	liew
686	趫	eiE	khyew
687	肴	jjA	ghaew
688	交	djA	kaew
689	巢	UjA	dzraew
690	鐃	MjA	nraew
691	梢	VjA	sraew
692	茅	DjA	maew
693	虓	ijA	haew
694	包	AjA	paew
695	胞	BjA	phaew
696	敲	ejA	khaew
697	聱	gjA	ngaew
698	𦗔	SjA	tsraew
699	嘲	JjA	traew
700	䜈	TjA	tsrhaew
701	庖	CjA	baew
702	䫜	hjA	qaew
703	䫸	KjA	trhaew
704	顟	IjA	laew
705	䄻	LjA	draew
706	豪	jkA	ghaw
707	高	dkA	kaw
708	勞	IkA	law
709	蒿	ikA	haw
710	毛	DkA	maw
711	饕	FkA	thaw
712	刀	EkA	taw
713	騷	QkA	saw
714	袍	CkA	baw
715	襃	AkA	paw
716	陶	GkA	daw
717	糟	NkA	tsaw
718	敖	gkA	ngaw
719	曹	PkA	dzaw
720	𤏶	hkA	qaw
721	猱	HkA	naw
722	尻	ekA	khaw
723	操	OkA	tshaw
724	㯱	BkA	phaw
725	歌	dlA	ka
726	蹉	OlA	tsha
727	多	ElA	ta
728	娑	QlA	sa
